date,type,name,scope
2001-12-01,local,縣市長與地方公職人員選舉,local
2004-03-20,presidential,第11任總統副總統選舉,national
2005-12-03,local,縣市長與地方公職人員選舉,local
2008-01-12,legislative,第7屆立法委員選舉,national
2008-03-22,presidential,第12任總統副總統選舉,national
2009-12-05,local,縣市長與地方公職人員選舉,local
2010-11-27,local,五都直轄市長選舉,local
2012-01-14,presidential,第13任總統副總統選舉,national
2012-01-14,legislative,第8屆立法委員選舉,national
2014-11-29,local,地方公職人員選舉,local
2016-01-16,presidential,第14任總統副總統選舉,national
2016-01-16,legislative,第9屆立法委員選舉,national
2018-11-24,local,地方公職人員選舉,local
2020-01-11,presidential,第15任總統副總統選舉,national
2020-01-11,legislative,第10屆立法委員選舉,national
2022-11-26,local,地方公職人員選舉,local
2024-01-13,presidential,第16任總統副總統選舉,national
2024-01-13,legislative,第11屆立法委員選舉,national
2026-11-28,local,地方公職人員選舉,local

